respondent_id,age_group,gender,city_tier,occupation,monthly_income,discovery_channel_1,discovery_channel_2,social_media_hours,dietary_preference,cuisine_north_indian,cuisine_south_indian,cuisine_bengali,cuisine_rajasthani_gujarati,cuisine_continental_italian,cuisine_chinese_pan-asian,cuisine_street_food_chaat,cuisine_mediterranean,flavour_spicy_and_bold,flavour_mild_and_comforting,flavour_sweet_and_indulgent,flavour_tangy_and_zesty,flavour_savoury_and_umami,flavour_herbal_and_earthy,health_weight_management,health_high_protein,health_low_sugar_diabetic,health_gut_health,health_energy_&_stamina,health_gluten-free,health_no_specific_goal,interest_healthy_meal_bowls,interest_functional_beverages,interest_millet_superfood_snacks,interest_breakfast_boxes,interest_office_fuel_packs,addon_protein_boost,addon_extra_dressing_chutney,addon_side_salad_raita,addon_dessert_sweet_bite,addon_energy_drink_smoothie,addon_none,meals_ordered_per_day,occasion_breakfast,occasion_midmorning_snack,occasion_lunch,occasion_evening_snack,occasion_dinner,occasion_late_night,ordering_channel_1,ordering_channel_2,biggest_frustration,monthly_food_spend,max_wtp_meal_bowl,mood_food_sensitivity,brand_yoga_bar,brand_the_whole_truth,brand_sleepy_owl,brand_epigamia,brand_raw_pressery,brand_id_fresh_mtr,brand_slurrp_farm,brand_none_of_these,clean_label_importance,eco_packaging_willingness,combo_movie_night,combo_wfh_lunch,combo_post_gym,differentiator_1,differentiator_2,subscription_interest,expected_order_frequency,likelihood_to_try_moodmeal
MM0001,25-34,Male,Tier 2,Freelancer,1L-2L,Instagram/YouTube,Friend/family,Less than 1 hour,Eggetarian,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,3+,1,0,1,1,0,0,Delivery apps,Brand's own app,No healthy options nearby,3K-6K,400-600,4,1,1,0,1,0,0,0,0,5,Yes if same quality,Snack box + functional soda,Office fuel + smoothie,Breakfast box + cold coffee,Variety & regional flavours,Fast delivery,Maybe - depends on price,3-5 times/week,Definitely yes
MM0002,55+,Male,Tier 3,Homemaker,50K-1L,Influencer reviews,Instagram/YouTube,Less than 1 hour,Vegetarian,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,Offline retail,Quick commerce,Too expensive,3K-6K,Below 150,4,0,0,0,1,0,1,0,0,4,No - price matters,Snack box + functional soda,Meal bowl + green tea,Nothing - own routine,Affordable pricing,Mood-based packaging,No - on demand,Rarely/unsure,Probably no
MM0003,35-44,Female,Tier 3,Business owner,Below 25K,Delivery app suggestions,Friend/family,2-4 hours,Vegetarian,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,1,0,1,0,1,0,Brand's own app,Offline retail,Boring/no variety,Below 1K,Below 150,4,0,1,1,1,0,0,0,0,5,Yes if same quality,Comfort bowl + dessert,Breakfast box (brunch),Millet bar + smoothie,Variety & regional flavours,Healthy ingredients,Maybe - depends on price,Rarely/unsure,Neutral
MM0004,25-34,Male,Metro,Freelancer,Above 2L,Friend/family,Instagram/YouTube,2-4 hours,Eggetarian,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,Brand's own app,Delivery apps,Too expensive,Above 10K,Above 600,2,0,1,0,0,0,0,0,0,4,No - price matters,Millet chips + cold brew,Breakfast box (brunch),Breakfast box + cold coffee,Healthy ingredients,Fast delivery,Yes - weekly,3-5 times/week,Definitely yes
MM0005,18-24,Male,Metro,Student,25K-50K,Friend/family,Influencer reviews,More than 4 hours,Non-vegetarian,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,2,0,1,1,0,0,1,Brand's own app,Subscription box,Poor delivery,1K-3K,150-250,1,1,1,1,0,0,0,0,0,5,No - price matters,Snack box + functional soda,Breakfast box (brunch),Nothing - own routine,Variety & regional flavours,Personalised recommendations,No - on demand,1-2 times/week,Probably yes
MM0006,18-24,Female,Metro,Retired,25K-50K,Instagram/YouTube,Influencer reviews,More than 4 hours,Eggetarian,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,3+,1,1,0,0,0,0,Quick commerce,Subscription box,Too expensive,6K-10K,400-600,5,1,0,1,0,0,0,0,0,5,Don't care,Snack box + functional soda,Office fuel + smoothie,Protein bowl + energy drink,Mood-based packaging,Fast delivery,Maybe - depends on price,1-2 times/week,Probably yes
MM0007,18-24,Male,Metro,Student,50K-1L,Instagram/YouTube,Delivery app suggestions,2-4 hours,Flexitarian,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,2,0,0,1,1,1,1,Offline retail,Delivery apps,Too unhealthy,Below 1K,150-250,2,0,1,1,0,1,0,0,0,5,No - price matters,Nothing,Meal bowl + green tea,Nothing - own routine,Healthy ingredients,Variety & regional flavours,No - on demand,Few times/month,Definitely yes
MM0008,45-54,Female,Metro,Working professional,50K-1L,Friend/family,In-store browsing,1-2 hours,Vegetarian,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,2,0,1,1,0,1,0,Brand's own app,Subscription box,Poor delivery,3K-6K,400-600,3,0,0,0,0,0,0,0,1,2,Yes if same quality,Snack box + functional soda,Office fuel + smoothie,Protein bowl + energy drink,Fast delivery,Variety & regional flavours,No - on demand,Few times/month,Neutral
MM0009,35-44,Male,Tier 2,Homemaker,50K-1L,Delivery app suggestions,In-store browsing,1-2 hours,Eggetarian,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,3+,1,1,0,1,0,0,Delivery apps,Brand's own app,Too unhealthy,6K-10K,150-250,2,0,0,0,1,0,1,0,0,3,Yes if same quality,Comfort bowl + dessert,Breakfast box (brunch),Protein bowl + energy drink,Personalised recommendations,Variety & regional flavours,Maybe - depends on price,Few times/month,Probably yes
MM0010,35-44,Male,Metro,Working professional,25K-50K,Delivery app suggestions,Google search,More than 4 hours,Vegetarian,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,Delivery apps,Offline retail,Too expensive,3K-6K,Above 600,3,0,0,0,0,0,1,0,0,3,No - price matters,Snack box + functional soda,Meal bowl + green tea,Millet bar + smoothie,Affordable pricing,Healthy ingredients,No - on demand,1-2 times/week,Probably no
